Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.18     0.00   918227     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, double> >::_M_ptr() const
  0.00      0.18     0.00   918227     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, double> >::_M_addr() const
  0.00      0.18     0.00   918227     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, double> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, double> const&>(std::pair<int const, double> const&) const
  0.00      0.18     0.00   918227     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, double> >::_M_v() const
  0.00      0.18     0.00   918227     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, double> >::_M_valptr() const
  0.00      0.18     0.00   918227     0.00     0.00  std::pair<int const, double> const& std::forward<std::pair<int const, double> const&>(std::remove_reference<std::pair<int const, double> const&>::type&)
  0.00      0.18     0.00   856802     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.18     0.00   856802     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.18     0.00   817263     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.18     0.00   817263     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<int const, double>, false> const&) const
  0.00      0.18     0.00   817263     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.18     0.00   809360     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<int const, int>, false> const&) const
  0.00      0.18     0.00   788994     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, double> >::_M_ptr()
  0.00      0.18     0.00   788994     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, double> >::_M_addr()
  0.00      0.18     0.00   788994     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, double> >::_M_valptr()
  0.00      0.18     0.00   757643     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.18     0.00   757643     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.18     0.00   755838     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.18     0.00   755838     0.00     0.00  std::_Hashtable<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.18     0.00   742854     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, double> >::_M_v()
  0.00      0.18     0.00   723792     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.18     0.00   720067     0.00     0.00  std::unordered_map<int, double, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, double> > >::operator[](int const&)
  0.00      0.18     0.00   720067     0.00     0.00  std::__detail::_Map_base<int, std::pair<int const, double>, std::allocator<std::pair<int const, double> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](int const&)
  0.00      0.18     0.00   696604     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.18     0.00   691764     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.18     0.00   672804     0.00     0.00  std::__detail::_Node_const_iterator<std::pair<int const, int>, false, false>::_Node_const_iterator(std::__detail::_Hash_node<std::pair<int const, int>, false>*)
  0.00      0.18     0.00   671242     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::count(int const&) const
  0.00      0.18     0.00   671242     0.00     0.00  std::unordered_map<int, int, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, int> > >::count(int const&) const
  0.00      0.18     0.00   588259     0.00     0.00  std::_Head_base<0ul, int const&, false>::_M_head(std::_Head_base<0ul, int const&, false>&)
  0.00      0.18     0.00   588257     0.00     0.00  int const& std::__get_helper<0ul, int const&>(std::_Tuple_impl<0ul, int const&>&)
  0.00      0.18     0.00   588256     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_M_head(std::_Tuple_impl<0ul, int const&>&)
  0.00      0.18     0.00   492195     0.00     0.00  int const& std::__pair_get<0ul>::__const_get<int const, std::vector<int, std::allocator<int> > >(std::pair<int const, std::vector<int, std::allocator<int> > > const&)
  0.00      0.18     0.00   492195     0.00     0.00  std::tuple_element<0ul, std::pair<int const, std::vector<int, std::allocator<int> > > >::type const& std::get<0ul, int const, std::vector<int, std::allocator<int> > >(std::pair<int const, std::vector<int, std::allocator<int> > > const&)
  0.00      0.18     0.00   490356     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::vector<int, std::allocator<int> > > >::_M_ptr() const
